Time,University 11kV,Corporation Street 11kV,Educational Precinct 11kV,Pilgrim 11kV,Gateshead Central 11kV,Close 11kV,Benwell 11kV,Team Valley 20kV,Birtley Grove 20kV,Dunston 11kV,Dunston 20kV,Westerhope 11kV,Blucher 11kV,Harraton Red 11kV,Blaydon Burn 11kV,West Wylam 20kV,Hexham 20kV,Riding Mill Pumps 11kV,Tanfield 11kV,Annfield T4 20kV,Annfield T3 20kV,Bensham 11kV,Kimberley Clarke North 11kV,Kimberley Clarke South 11kV,Dunston 11kV (via 20/11kV),Consett 20kV,Newcastle Airport 11kV,Newburn Haugh 11kV,Harraton Green 11kV,Birtley Grove 11kV,Great Park T1 33kV,Great Park T2 33kV,Kenton 11kV
05:00,10.37710759,5.569102618,7.523212309,7.733048844,6.428832356,10.72104902,8.294859649,12.00548816,4.026357181,6.355771212,6.868880613,5.184764135,5.850564586,8.088066101,6.702214127,8.431500575,11.24901796,4.66,5.440703196,9.059981159,9.059981159,8.158518486,7.523212309,4.66,6.355771212,8.180255151,5.627582436,2.967710108,8.088066101,5.975719891,15.34,15.34,6.886378924
05:30,10.89005399,5.834976763,7.907057546,8.147606319,6.761790367,11.18345832,8.808917149,12.71626584,4.302733434,6.776923166,7.341406732,5.511724717,6.28185772,8.619845555,7.169782189,8.952737698,11.87923869,4.66,5.828611773,9.691113918,9.691113918,8.660119806,7.907057546,4.66,6.776923166,8.741046902,5.980469217,3.171011981,8.619845555,6.417349681,15.34,15.34,7.36052881
06:00,11.93201112,6.412481474,8.732742101,8.940044111,7.468383649,12.09534512,9.931571921,14.10112116,4.886226087,7.645777937,8.367145938,6.248047062,7.223397814,9.753929231,8.160221822,10.09068814,13.2379193,5.08,6.662889437,11.04207321,11.04207321,9.779285377,8.732742101,5.08,7.645777937,9.940198377,6.75964537,3.604443293,9.753929231,7.375020367,16.09,16.09,8.400992523
06:30,13.42336901,7.209505626,9.828752907,10.1118101,8.41899939,13.60186356,11.28348357,16.0174371,5.587196877,8.723796707,9.559333672,7.106829211,8.275223636,11.13361276,9.331462819,11.45987698,14.95704603,5.76,7.628632276,12.62290479,12.62290479,11.10366911,9.828752907,5.76,8.723796707,11.35242241,7.687836034,4.121799174,11.13361276,8.462766774,16.46,16.46,9.596332612
07:00,15.26089154,8.235870384,11.26704615,11.42456014,9.632462508,15.48227219,13.07803145,18.25318521,6.472676162,10.06131285,11.1302207,8.282536184,9.697943919,12.85335569,10.83995684,13.26481117,17.21112767,6.45,8.886817014,14.67753498,14.67753498,12.91611411,11.26704615,6.45,10.06131285,13.19570976,8.926219116,4.788757207,12.85335569,9.887498499,16.84,16.84,11.19606288
07:30,17.00584571,8.845682517,12.27289639,13.19654546,10.57634836,17.30260478,14.39905014,21.1918056,7.33928178,11.44916106,12.39172506,8.931968003,10.81029357,14.48270043,12.27171411,14.6877648,19.03718232,7.54,9.994940942,16.52235816,16.52235816,14.00245837,12.27289639,7.54,11.44916106,14.83568172,9.748714884,5.371946134,14.48270043,11.07803627,17.58,17.58,12.37957103
08:00,19.79255795,10.00995791,13.87050108,15.68965698,12.03740726,19.72588523,15.91739984,24.94749101,8.213089489,12.96948429,13.61055842,9.654448362,11.72899178,16.20617009,13.67559254,16.28651003,21.44019928,8.23,11.01501794,18.29337961,18.29337961,15.27290634,13.87050108,8.23,12.96948429,16.4604816,10.68131615,5.963201045,16.20617009,12.08960876,18.33,18.33,13.49411716
08:30,21.79522335,10.73771186,14.92567738,17.544405,13.01374217,21.47765529,16.85934785,27.76881725,8.798898425,14.00837371,14.35140155,10.01875963,12.26569536,17.32157738,14.61221988,17.3070316,23.06689338,8.51,11.66078731,19.43758329,19.43758329,15.99258735,14.92567738,8.51,14.00837371,17.52530713,11.21509237,6.346997565,17.32157738,12.68527797,18.71,18.71,14.14107374
09:00,23.17952197,11.2523104,15.637469,18.84462329,13.68108166,22.77218533,17.43902964,29.68935367,9.163042866,14.6848427,14.78594388,10.22407701,12.54894077,18.0275194,15.18323459,17.93021371,24.11081164,8.78,12.03829993,20.12148726,20.12148726,16.41551958,15.637469,8.78,14.6848427,18.16599832,11.53903227,6.582593507,18.0275194,13.01883146,18.71,18.71,14.5054193
09:30,23.83653752,11.45912,15.94399393,19.46870688,13.96825262,23.51385925,17.64036861,30.61028403,9.302294335,14.95922789,14.9145492,10.25342559,12.61152227,18.28045035,15.39796899,18.15760674,24.55681645,8.92,12.15977158,20.3593821,20.3593821,16.53190936,15.94399393,8.92,14.95922789,18.39999514,11.6287623,6.66808596,18.28045035,13.097218,18.89,18.89,14.59594489
