0,1,2,3,4,5,6,7,8,9,10,11,12
36.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-1.068,66.0,1.0,1.1,0.9
37.0,1.0,9.03017,1.53,0.0,0.0,1.0,0.9605,-3.657,11.5,1.0,1.1,0.9
38.0,2.0,0.0,0.0,0.0,0.0,1.0,1.02,0.9745,66.0,1.0,1.1,0.9
39.0,2.0,0.0,0.0,0.0,0.0,1.0,1.02,0.9752,66.0,1.0,1.1,0.9
40.0,1.0,13.7404154,2.415,0.0,0.0,1.0,1.0,-1.127,22.0,1.0,1.1,0.9
41.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9946,1.026,66.0,1.0,1.1,0.9
42.0,1.0,3.28013165,0.595,0.0,0.0,1.0,0.96,0.7934,22.0,1.0,1.1,0.9
43.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9946,1.027,66.0,1.0,1.1,0.9
44.0,1.0,5.43018518,0.96,0.0,0.0,1.0,0.9563,-2.571,11.5,1.0,1.1,0.9
45.0,1.0,6.56012548,1.11,0.0,0.0,1.0,0.96,-2.4,22.0,1.0,1.1,0.85
46.0,2.0,0.0,0.0,0.0,0.0,1.0,1.002,-4.227,33.0,1.0,1.1,0.9
47.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.021,-0.4732,132.0,1.0,1.1,0.9
48.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.002,-4.227,33.0,1.0,1.1,0.9
49.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.021,-0.4732,132.0,1.0,1.1,0.9
50.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.002,-4.227,33.0,1.0,1.1,0.9
51.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-4.23,33.0,1.0,1.1,0.9
52.0,1.0,5.28010134,0.9,0.0,0.0,1.0,0.958,-5.545,11.5,1.0,1.1,0.9
53.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-4.23,33.0,1.0,1.1,0.9
54.0,1.0,6.38012353,1.08,0.0,0.0,1.0,0.959,-5.784,11.5,1.0,1.1,0.9
55.0,3.0,0.0,0.0,0.0,0.0,1.0,1.06,0.0,275.0,1.0,1.1,0.9
56.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9981,-0.0001493,275.0,1.0,1.1,0.9
57.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9981,-4.117e-05,275.0,1.0,1.1,0.9
58.0,2.0,0.0,0.0,0.0,0.0,1.0,1.022,-0.4461,132.0,1.0,1.1,0.9
59.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9981,-4.194e-05,275.0,1.0,1.1,0.9
60.0,2.0,0.0,0.0,0.0,0.0,1.0,1.022,-0.4454,132.0,1.0,1.1,0.9
61.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9981,-4.186e-05,275.0,1.0,1.1,0.9
62.0,2.0,0.0,0.0,0.0,0.0,1.0,1.022,-0.4444,132.0,1.0,1.1,0.9
63.0,2.0,0.0,0.0,0.0,0.0,1.0,1.022,-0.4252,132.0,1.0,1.1,0.9
64.0,2.0,0.0,0.0,0.0,0.0,1.0,1.022,-0.4253,132.0,1.0,1.1,0.9
65.0,2.0,0.0,0.0,0.0,0.0,1.0,1.022,-0.4252,132.0,1.0,1.1,0.9
66.0,2.0,0.0,0.0,0.0,0.0,1.0,1.022,-0.4252,132.0,1.0,1.1,0.9
67.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9922,-0.684,66.0,1.0,1.1,0.9
68.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.019,-0.3951,132.0,1.0,1.1,0.9
69.0,2.0,0.0,0.0,0.01,-0.01,1.0,0.9922,-0.684,66.0,1.0,1.1,0.9
70.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9779,0.3533,66.0,1.0,1.1,0.9
71.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.023,-0.316,132.0,1.0,1.1,0.9
72.0,2.0,0.0,0.0,0.01,-0.01,1.0,0.9779,0.3533,66.0,1.0,1.1,0.9
73.0,2.0,0.0,0.0,0.0,0.0,1.0,1.02,-0.3673,132.0,1.0,1.1,0.9
74.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.018,-0.3541,132.0,1.0,1.1,0.9
75.0,2.0,0.0,0.0,0.01,-0.01,1.0,0.9922,-0.684,66.0,1.0,1.1,0.9
