0,1,2,3,4,5,6,7,8,9,10,11,12
66.0,73.0,0.00446,0.01039,0.00914,114.0,99.0,123.0,0.0,0.0,1.0,-360.0,360.0
73.0,76.0,0.01183,0.02625,0.00598,114.0,99.0,123.0,0.0,0.0,1.0,-360.0,360.0
73.0,74.0,0.00445,0.01018,0.0,114.0,99.0,123.0,0.0,0.0,1.0,-360.0,360.0
63.0,68.0,0.00869,0.02025,0.0027312,114.0,99.0,123.0,0.0,0.0,1.0,-360.0,360.0
67.0,97.0,0.03809,0.09446,0.0,57.272,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
97.0,99.0,0.07502,0.010627,0.0,35.4378,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
97.0,101.0,0.0091,0.01287,0.0,42.296,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
67.0,96.0,0.0375,0.09306,0.0,57.272,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
96.0,102.0,0.00969,0.01425,0.0,42.2967,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
96.0,100.0,0.07595,0.010759,0.0,35.4378,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
67.0,110.0,0.01732,0.04097,0.0,46.2977,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
67.0,109.0,0.01063,0.02728,0.0,34.4089,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
110.0,94.0,0.00539,0.00407,0.0,42.2967,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
117.0,118.0,0.0,1e-05,0.0,999.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
110.0,120.0,0.00372,0.00633,0.0053976,66.87,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
109.0,121.0,0.01317,0.01398,0.0,33.723,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
67.0,90.0,0.02024,0.04013,0.0,45.7261,0.0,0.0,0.0,0.0,0.0,-360.0,360.0
87.0,88.0,0.00962,0.0201,0.0,50.6417,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
67.0,87.0,0.02021,0.04758,0.0,45.7261,0.0,0.0,0.0,0.0,0.0,-360.0,360.0
65.0,122.0,0.01488,0.033405,0.033728,114.0,99.0,123.0,0.0,0.0,1.0,-360.0,360.0
122.0,81.0,0.00546,0.012155,0.011242,114.0,99.0,123.0,0.0,0.0,1.0,-360.0,360.0
63.0,123.0,0.01488,0.033405,0.033728,114.0,99.0,123.0,0.0,0.0,1.0,-360.0,360.0
123.0,79.0,0.00546,0.012155,0.011242,114.0,99.0,123.0,0.0,0.0,1.0,-360.0,360.0
124.0,43.0,0.00096,0.00177,0.0,37.1525,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
124.0,41.0,0.00096,0.00179,0.0,37.1525,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
27.0,115.0,0.014,0.008,0.0,33.723,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
27.0,114.0,0.014,0.008,0.0,33.723,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
124.0,125.0,0.00625,0.01605,0.0,57.272,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
125.0,39.0,0.00298,0.00305,0.0,49.7272,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
124.0,126.0,0.00625,0.01605,0.0,57.272,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
126.0,38.0,0.00298,0.00305,0.0,47.4409,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
125.0,27.0,0.02225,0.05921,0.0,49.7272,0.0,0.0,0.0,0.0,0.0,-360.0,360.0
126.0,27.0,0.02225,0.05921,0.0,49.7272,0.0,0.0,0.0,0.0,0.0,-360.0,360.0
127.0,124.0,0.0,1e-05,0.0,999.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
128.0,124.0,0.0,1e-05,0.0,999.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
47.0,1.0,0.000801,0.00184,0.0,89.166,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
49.0,3.0,0.000801,0.00184,0.0,89.166,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
28.0,4.0,0.0025,0.0134,0.00519526,114.0,99.0,123.0,0.0,0.0,0.0,-360.0,360.0
70.0,130.0,0.02247,0.01026,0.0,57.272,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
70.0,131.0,0.0224,0.01014,0.0,57.272,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
46.0,132.0,0.04005,0.0574,0.01854,28.9,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
46.0,134.0,0.03993,0.05723,0.01848,28.9,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
